service_id,date,exception_type
12025608,20161111,1
12025608,20161119,1
12025608,20161126,1
12025608,20161203,1
12025608,20161210,1
12025608,20161217,1
12280415,20170103,1
12280415,20170104,1
12280415,20170105,1
12280415,20170106,1
12280415,20170110,1
12280415,20170111,1
12280415,20170112,1
12280415,20170113,1
12280415,20170117,1
12280415,20170118,1
12280415,20170119,1
12280415,20170120,1
12280415,20170124,1
12280415,20170125,1
12280415,20170126,1
12280415,20170127,1
12280415,20170131,1
12280415,20170201,1
12280415,20170202,1
12280415,20170203,1
12280415,20170221,1
12280415,20170222,1
12280415,20170223,1
12280415,20170224,1
12280415,20170228,1
12280415,20170301,1
12280415,20170302,1
12280415,20170303,1
12280415,20170307,1
12280415,20170308,1
12280415,20170309,1
12280415,20170310,1
12280415,20170314,1
12280415,20170315,1
12280415,20170316,1
12280415,20170317,1
12280415,20170321,1
12280415,20170322,1
12280415,20170323,1
12280415,20170324,1
12280415,20170328,1
12280415,20170329,1
12280415,20170330,1
12280415,20170331,1
12280415,20170404,1
12280415,20170405,1
12280415,20170406,1
12280415,20170407,1
12280415,20170425,1
12280415,20170426,1
12280415,20170427,1
12280415,20170428,1
12280415,20170503,1
12280415,20170504,1
12280415,20170505,1
12025605,20161112,1
12025605,20161113,1
12025605,20161120,1
12025605,20161127,1
12025605,20161204,1
12025605,20161211,1
12025605,20161218,1
12025605,20161225,1
12280414,20170207,1
12280414,20170208,1
12280414,20170209,1
12280414,20170210,1
12280414,20170214,1
12280414,20170215,1
12280414,20170216,1
12280414,20170217,1
12280414,20170411,1
12280414,20170412,1
12280414,20170413,1
12280414,20170414,1
12280414,20170419,1
12280414,20170420,1
12280414,20170421,1
12025606,20161224,1
12025606,20161231,1
12280413,20170102,1
12280413,20170109,1
12280413,20170116,1
12280413,20170123,1
12280413,20170130,1
12280413,20170206,1
12280413,20170213,1
12280413,20170220,1
12280413,20170227,1
12280413,20170306,1
12280413,20170313,1
12280413,20170320,1
12280413,20170327,1
12280413,20170403,1
12280413,20170410,1
12280413,20170418,1
12280413,20170424,1
12280413,20170502,1
12025601,20161220,1
12025601,20161221,1
12025601,20161222,1
12025601,20161223,1
12025601,20161227,1
12025601,20161228,1
12025601,20161229,1
12025601,20161230,1
12280418,20170211,1
12280418,20170218,1
12280418,20170415,1
12280418,20170422,1
12025602,20161110,1
12025602,20161115,1
12025602,20161116,1
12025602,20161117,1
12025602,20161118,1
12025602,20161122,1
12025602,20161123,1
12025602,20161124,1
12025602,20161125,1
12025602,20161129,1
12025602,20161130,1
12025602,20161201,1
12025602,20161202,1
12025602,20161206,1
12025602,20161207,1
12025602,20161208,1
12025602,20161209,1
12025602,20161213,1
12025602,20161214,1
12025602,20161215,1
12025602,20161216,1
12280417,20170108,1
12280417,20170115,1
12280417,20170122,1
12280417,20170129,1
12280417,20170205,1
12280417,20170212,1
12280417,20170219,1
12280417,20170226,1
12280417,20170305,1
12280417,20170312,1
12280417,20170319,1
12280417,20170326,1
12280417,20170402,1
12280417,20170409,1
12280417,20170416,1
12280417,20170417,1
12280417,20170423,1
12280417,20170430,1
12280417,20170501,1
12280417,20170507,1
12280417,20170508,1
2280414,20170206,1
2280414,20170207,1
2280414,20170208,1
2280414,20170209,1
2280414,20170213,1
2280414,20170214,1
2280414,20170215,1
2280414,20170216,1
2280414,20170410,1
2280414,20170411,1
2280414,20170412,1
2280414,20170413,1
2280414,20170418,1
2280414,20170419,1
2280414,20170420,1
12025600,20161114,1
12025600,20161121,1
12025600,20161128,1
12025600,20161205,1
12025600,20161212,1
12025600,20161219,1
12025600,20161226,1
2280415,20170102,1
2280415,20170103,1
2280415,20170104,1
2280415,20170105,1
2280415,20170109,1
2280415,20170110,1
2280415,20170111,1
2280415,20170112,1
2280415,20170116,1
2280415,20170117,1
2280415,20170118,1
2280415,20170119,1
2280415,20170123,1
2280415,20170124,1
2280415,20170125,1
2280415,20170126,1
2280415,20170130,1
2280415,20170131,1
2280415,20170201,1
2280415,20170202,1
2280415,20170220,1
2280415,20170221,1
2280415,20170222,1
2280415,20170223,1
2280415,20170227,1
2280415,20170228,1
2280415,20170301,1
2280415,20170302,1
2280415,20170306,1
2280415,20170307,1
2280415,20170308,1
2280415,20170309,1
2280415,20170313,1
2280415,20170314,1
2280415,20170315,1
2280415,20170316,1
2280415,20170320,1
2280415,20170321,1
2280415,20170322,1
2280415,20170323,1
2280415,20170327,1
2280415,20170328,1
2280415,20170329,1
2280415,20170330,1
2280415,20170403,1
2280415,20170404,1
2280415,20170405,1
2280415,20170406,1
2280415,20170424,1
2280415,20170425,1
2280415,20170426,1
2280415,20170427,1
2280415,20170502,1
2280415,20170503,1
2280415,20170504,1
2280417,20170107,1
2280417,20170114,1
2280417,20170121,1
2280417,20170128,1
2280417,20170204,1
2280417,20170211,1
2280417,20170218,1
2280417,20170225,1
2280417,20170304,1
2280417,20170311,1
2280417,20170318,1
2280417,20170325,1
2280417,20170401,1
2280417,20170408,1
2280417,20170415,1
2280417,20170416,1
2280417,20170422,1
2280417,20170429,1
2280417,20170430,1
2280417,20170506,1
2280417,20170507,1
2280413,20170101,1
2280413,20170108,1
2280413,20170115,1
2280413,20170122,1
2280413,20170129,1
2280413,20170205,1
2280413,20170212,1
2280413,20170219,1
2280413,20170226,1
2280413,20170305,1
2280413,20170312,1
2280413,20170319,1
2280413,20170326,1
2280413,20170402,1
2280413,20170409,1
2280413,20170417,1
2280413,20170423,1
2280413,20170501,1
2280418,20170210,1
2280418,20170217,1
2280418,20170414,1
2280418,20170421,1
11539815,20170101,1
12280420,20170107,1
12280420,20170114,1
12280420,20170121,1
12280420,20170128,1
12280420,20170204,1
12280420,20170225,1
12280420,20170304,1
12280420,20170311,1
12280420,20170318,1
12280420,20170325,1
12280420,20170401,1
12280420,20170408,1
12280420,20170429,1
12280420,20170506,1
2025608,20161110,1
2025608,20161118,1
2025608,20161125,1
2025608,20161202,1
2025608,20161209,1
2025608,20161216,1
2025606,20161223,1
2025606,20161230,1
2280420,20170106,1
2280420,20170113,1
2280420,20170120,1
2280420,20170127,1
2280420,20170203,1
2280420,20170224,1
2280420,20170303,1
2280420,20170310,1
2280420,20170317,1
2280420,20170324,1
2280420,20170331,1
2280420,20170407,1
2280420,20170428,1
2280420,20170505,1
2025600,20161113,1
2025600,20161120,1
2025600,20161127,1
2025600,20161204,1
2025600,20161211,1
2025600,20161218,1
2025600,20161225,1
2025601,20161219,1
2025601,20161220,1
2025601,20161221,1
2025601,20161222,1
2025601,20161226,1
2025601,20161227,1
2025601,20161228,1
2025601,20161229,1
1539815,20161231,1
2025605,20161111,1
2025605,20161112,1
2025605,20161119,1
2025605,20161126,1
2025605,20161203,1
2025605,20161210,1
2025605,20161217,1
2025605,20161224,1
2025602,20161109,1
2025602,20161114,1
2025602,20161115,1
2025602,20161116,1
2025602,20161117,1
